"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @PutinVVZ: Полицейская демократия
https://t.co/OBjQ7Vp6DY

#Беларусь #26марта #Россия #25sakavika #моямилиция #ДзеньВолі  https://t.co/O…",FALSE,0,NA,2017-03-30 11:21:53,FALSE,NA,"847408535654637575",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","r_krim",2,TRUE,FALSE,NA,NA
"2","RT @PutinVVZ: Полицейская демократия
https://t.co/OBjQ7Vp6DY

#Беларусь #26марта #Россия #25sakavika #моямилиция #ДзеньВолі  https://t.co/O…",FALSE,0,NA,2017-03-30 11:21:06,FALSE,NA,"847408339835265026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","68burdas",2,TRUE,FALSE,NA,NA
"3","Полицейская демократия
https://t.co/OBjQ7Vp6DY

#Беларусь #26марта #Россия #25sakavika #моямилиция #ДзеньВолі  https://t.co/OBjQ7Vp6DY",FALSE,0,NA,2017-03-30 11:00:06,FALSE,NA,"847403051400835072",NA,"<a href=""http://novapress.net.ru/"" rel=""nofollow"">NovaPress Publisher</a>","PutinVVZ",2,FALSE,FALSE,NA,NA
"4","RT @PutinVVZ: По воводу разгонов протестов.. Как это делают на западе.

#Беларусь #26марта #Россия #Лукашенко #моямилиция #ДзеньВолі https:…",FALSE,0,NA,2017-03-30 10:13:54,FALSE,NA,"847391426484748288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marusya_100500",2,TRUE,FALSE,NA,NA
"5","RT @AffordableAli: Летнее платье <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
цена тут: https://t.co/6ggcBhtrEi
#RagazziDelBG #leiene #QatarGP #ДзеньВолі #ДимонОтветит #Capital #Lucy…",FALSE,0,NA,2017-03-30 09:44:52,FALSE,NA,"847384121936457728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dimas16145",20,TRUE,FALSE,NA,NA
"6","RT @belpartisan: Это Беларусь, детка :(
Фото @svaboda 
#ДзеньВолі https://t.co/DDAwJxDjmK",FALSE,0,NA,2017-03-30 08:45:17,FALSE,NA,"847369123759702016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AHTIBATA",91,TRUE,FALSE,NA,NA
"7","RT @Pravdiva_pravda: Сотрудники ФСБ насильно усадили Януковича смотреть прямую трансляцию из Минска #ДзеньВолі 
Тиран коварен. https://t.co…",FALSE,0,NA,2017-03-30 08:35:31,FALSE,NA,"847366668489695232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marutkov",64,TRUE,FALSE,NA,NA
"8","Новое фото @SiarheiHudzilin-а #дляГааги: Шунявки-разбойники жестоко до черноты избивают активиста-парикмахера Павла… https://t.co/T3ZP8YkJYa",FALSE,0,NA,2017-03-30 07:04:12,TRUE,NA,"847343687927422977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tits_Statkevich",0,FALSE,FALSE,NA,NA
"9","интересно, а беларусские адепты #bdsm практикуют сюжеты #дзеньволі или, скажем, сутки на окрестино?",FALSE,0,NA,2017-03-30 06:38:54,FALSE,NA,"847337321628291072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","selftwi",0,FALSE,FALSE,NA,NA
"10","Шолом, режымоборцы! #дзеньволі https://t.co/H9tNPcE0gU",FALSE,0,NA,2017-03-30 06:33:48,FALSE,NA,"847336037063864322",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tits_Statkevich",0,FALSE,FALSE,NA,NA
