"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @A_Sannikov: Join the action to find Mikalai #Statkevich kidnapped by the regime in #Belarus - #WhereIsStatkevich https://t.co/IRcJSpn1iy",FALSE,0,NA,2017-03-26 20:53:06,FALSE,NA,"846102736366067713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samanakov",2,TRUE,FALSE,NA,NA
"2","RT @bneeditor: I'm sure #moscowprotests will be front page tmrw. #minsk will get few inches and Yemen largely ignored. Hope I'm wrong https…",FALSE,0,NA,2017-03-26 20:52:44,FALSE,NA,"846102642459860993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","djejit",29,TRUE,FALSE,NA,NA
"3","RT @Belsat_Eng: #Belarus opposition politician disappeared. #KGB keeps silence https://t.co/w7NuBgOaJU #Statkevich #Minsk #FreedomDay #EU @…",FALSE,0,NA,2017-03-26 20:52:13,FALSE,NA,"846102512843313153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zcarrgrl",58,TRUE,FALSE,NA,NA
"4","Left apologists for #Putin look at #Belarus, then hang your heads in shame.",FALSE,0,NA,2017-03-26 20:51:50,FALSE,NA,"846102417695555585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Liburd93",1,FALSE,FALSE,NA,NA
"5","RT @nicolasdepedro: #Minsk #Belarus yesterday via Sergey Rubalsky &amp; @DimitarBechev https://t.co/SkeBwGPVux",FALSE,0,NA,2017-03-26 20:51:09,FALSE,NA,"846102243837390848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","krusow",161,TRUE,FALSE,NA,NA
"6","RT @stasia_writes: #Belarus police units shamelessly used force against elderly &amp; women at today's afternoon protests. Heart is breaking to…",FALSE,0,NA,2017-03-26 20:51:03,FALSE,NA,"846102219623727104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vieclearnamo191",24,TRUE,FALSE,NA,NA
"7","@JulianRoepcke @AuswaertigesAmt fast: Vorgestern und vom Staatsminister. Nix von @sigmargabriel zu #Belarus #Russland",FALSE,0,"JulianRoepcke",2017-03-26 20:50:52,FALSE,"846101644689489920","846102170923651073","428140124","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","ViolavonCramon",0,FALSE,FALSE,NA,NA
"8","RT @B3infos: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> #Biélorussie À #Minsk, lors de la manifestation anti-gouvernement (@DimitarBechev) https://t.co/SD4YEFAnzn",FALSE,0,NA,2017-03-26 20:50:51,FALSE,NA,"846102169405325312",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","demthe01",76,TRUE,FALSE,NA,NA
"9","RT @BalazsJarabik: #Belarus protest: riot police now arrests virtually everyone who made it to Victory Square https://t.co/YulVHg4FGz Hundr…",FALSE,0,NA,2017-03-26 20:50:44,FALSE,NA,"846102138233257984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Melina710",142,TRUE,FALSE,NA,NA
"10","RT @mazybas: <U+0424><U+043E><U+0442><U+043E> <U+0438><U+0437> <U+041D><U+044C><U+044E>-<U+0419><U+043E><U+0440><U+043A><U+0430>. <U+0412><U+0435><U+0441><U+044C> <U+043C><U+0438><U+0440> <U+0445><U+043E><U+0447><U+0435><U+0442> <U+043F><U+0435><U+0440><U+0435><U+043C><U+0435><U+043D> <U+0432> <U+043D><U+0430><U+0448><U+0435><U+043C> <U+043F><U+0440><U+044F><U+043C><U+043E><U+0443><U+0433><U+043E><U+043B><U+044C><U+043D><U+0438><U+043A><U+0435> 1100x500 <U+043A><U+043C>. <U+0412><U+0415><U+0421><U+042C>. <U+041C><U+0418><U+0420>. #<U+0434><U+0437><U+0435><U+043D><U+044C><U+0432><U+043E><U+043B><U+0456> #<U+0431><U+0435><U+043B><U+0430><U+0440><U+0443><U+0441><U+044C> #<U+043C><U+0438><U+043D><U+0441><U+043A> #minsk #b…",FALSE,0,NA,2017-03-26 20:50:32,FALSE,NA,"846102088161603585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BeHilli",1,TRUE,FALSE,NA,NA
