"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Кыргыз тили жана адабиятын мыкты билген Ырыскул! https://t.co/YGi0dIEvFy",FALSE,0,NA,2017-03-29 23:57:37,FALSE,NA,"847236335580491778",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DooranovNpoulgu",0,FALSE,FALSE,NA,NA
"2","RT @OksanoshkaBar: Киргизия депортирует британца, сравнившего колбасу с пенисом",FALSE,0,NA,2017-03-29 22:30:11,FALSE,NA,"847214328885456896",NA,"<a href=""http://cookiechomper.blogspot.com"" rel=""nofollow"">Cookie Chomper App</a>","Rastaban54",7,TRUE,FALSE,NA,NA
"3","Вы знали, Киргизия и Кыргызстан, это одно государство?",FALSE,0,NA,2017-03-29 22:04:10,FALSE,NA,"847207781535027200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neluibit",0,FALSE,FALSE,NA,NA
"4","RT @macalbekova: Бишкек 

Автор: Жетиген Такенов https://t.co/a5AgNF9QgD",FALSE,0,NA,2017-03-29 21:57:48,FALSE,NA,"847206179977793536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bima200990",43,TRUE,FALSE,NA,NA
"5","Украин элчиси кыргыз депутаттарынын Крымга барганына нааразы болду https://t.co/8t0fmJkOaZ",FALSE,0,NA,2017-03-29 21:46:23,FALSE,NA,"847203307336749056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jalalabad2011",0,FALSE,FALSE,NA,NA
"6","RT @RL7ozdcwvHMv4p1: Депутат Д<U+04AF>йш<U+04E9>н Т<U+04E9>р<U+04E9>кулов Ош шаарынын тургундарынын к<U+04E9>йг<U+04E9>йл<U+04E9>р<U+04AF>н чеч<U+04AF><U+04AF>г<U+04E9> аракеттенет | Кыргыз Республикасынын Жогорку… h…",FALSE,0,NA,2017-03-29 21:18:49,FALSE,NA,"847196369848819712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","walmoldtasi1980",1,TRUE,FALSE,NA,NA
"7","New post: Смертельная лавина: подробности трагедии на трассе Бишкек-Ош https://t.co/obfEuSgNd5",FALSE,0,NA,2017-03-29 21:02:48,FALSE,NA,"847192339546341381",NA,"<a href=""http://www.best-womens.ru/"" rel=""nofollow"">Индексация</a>","blogmartikus",0,FALSE,FALSE,NA,NA
"8","АХАХХАХА БИШКЕК жду больше чем oxxxy vs гнойный https://t.co/dAZgMBK1yj",FALSE,0,NA,2017-03-29 19:05:55,FALSE,NA,"847162924250554368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","singledaemon",0,FALSE,FALSE,NA,NA
"9","<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#РОССИЯ 
#УКРАИНА 
#БЕЛАРУСЬ 
#КАЗАХСТАН 
#КИРГИЗИЯ
<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
Ищем молодых амбициозных людей <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>… https://t.co/MFYU8Aep4E",FALSE,0,NA,2017-03-29 18:42:05,FALSE,NA,"847156926299455492",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kris040696",0,FALSE,FALSE,NA,NA
"10","Лавины, сель и землетрясение. Что делать в случае ЧП - Вечерний Бишкек https://t.co/3fNg9dufEB",FALSE,0,NA,2017-03-29 18:23:51,FALSE,NA,"847152336971681792",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Crisisblog",0,FALSE,FALSE,NA,NA
